"id","createdAt","processingDuration"
"121090","2023-07-31 07:58:49.139559","209.190658"
"121091","2023-07-31 07:58:50.142753","177.134302"
"121092","2023-07-31 07:58:51.141622","156.327065"
"121096","2023-07-31 07:58:52.137138","198.681902"
"121093","2023-07-31 07:58:53.154746","192.555946"
"121094","2023-07-31 07:58:54.139075","152.433035"
"121095","2023-07-31 07:58:55.155049","142.716163"
"121097","2023-07-31 07:58:56.143772","169.77472"
"121098","2023-07-31 07:58:57.156373","72.049781"
"121099","2023-07-31 07:58:58.132344","195.152895"
"121100","2023-07-31 07:58:59.137864","103.636607"
"121101","2023-07-31 07:59:00.146436","74.166503"
"121102","2023-07-31 07:59:01.143254","91.324159"
"121103","2023-07-31 07:59:02.15077","150.823356"
"121104","2023-07-31 07:59:03.15155","51.89667"
"121105","2023-07-31 07:59:04.148486","154.906426"
"121106","2023-07-31 07:59:05.142621","159.656533"
"121107","2023-07-31 07:59:06.142827","100.750322"
"121108","2023-07-31 07:59:07.142222","138.750566"
"121109","2023-07-31 07:59:08.157555","172.515375"
"121110","2023-07-31 07:59:09.152379","149.123845"
"121111","2023-07-31 07:59:10.147061","186.450414"
"121112","2023-07-31 07:59:11.154283","157.711501"
"121113","2023-07-31 07:59:12.14884","176.181759"
"121114","2023-07-31 07:59:13.144439","151.058217"
"121115","2023-07-31 07:59:14.136406","133.811949"
"121116","2023-07-31 07:59:15.146792","129.024173"
"121117","2023-07-31 07:59:16.138587","175.287425"
"121118","2023-07-31 07:59:17.135595","131.190989"
"121119","2023-07-31 07:59:18.137562","145.840819"
"121120","2023-07-31 07:59:19.149642","125.696248"
"121121","2023-07-31 07:59:20.141428","134.16997"
"121122","2023-07-31 07:59:21.155665","112.436695"
"121123","2023-07-31 07:59:22.153834","71.396248"
"121124","2023-07-31 07:59:23.156638","128.935818"
"121125","2023-07-31 07:59:24.146448","84.261975"
"121126","2023-07-31 07:59:25.147336","176.796861"
"121127","2023-07-31 07:59:26.140467","120.828752"
"121128","2023-07-31 07:59:27.148971","140.627455"
"121129","2023-07-31 07:59:28.152708","155.012488"
"121130","2023-07-31 07:59:29.141782","154.332699"
"121131","2023-07-31 07:59:30.139723","166.806567"
"121132","2023-07-31 07:59:31.143166","139.086879"
"121133","2023-07-31 07:59:32.150181","146.754971"
"121134","2023-07-31 07:59:33.151435","163.439929"
"121135","2023-07-31 07:59:34.13886","164.39265"
"121136","2023-07-31 07:59:35.151543","146.447561"
"121137","2023-07-31 07:59:36.151879","146.752978"
"121138","2023-07-31 07:59:37.140294","159.769436"
"121139","2023-07-31 07:59:38.147916","112.854461"
"121140","2023-07-31 07:59:39.148335","125.791973"
"121141","2023-07-31 07:59:40.137803","153.042478"
"121142","2023-07-31 07:59:41.142666","156.769208"
"121143","2023-07-31 07:59:42.147601","53.005177"
"121144","2023-07-31 07:59:43.156138","140.263714"
"121145","2023-07-31 07:59:44.152415","53.05009"
"121146","2023-07-31 07:59:45.141362","162.256116"
"121147","2023-07-31 07:59:46.13989","178.988482"
"121148","2023-07-31 07:59:47.152544","176.227345"
"121149","2023-07-31 07:59:48.166069","198.16103"
"121150","2023-07-31 07:59:49.15057","62.887564"
"121151","2023-07-31 07:59:50.14168","194.091697"
"121152","2023-07-31 07:59:51.136583","191.445676"
"121153","2023-07-31 07:59:52.148153","170.896882"
"121154","2023-07-31 07:59:53.146308","76.488914"
"121155","2023-07-31 07:59:54.148803","69.910295"
"121156","2023-07-31 07:59:55.141811","47.972947"
"121157","2023-07-31 07:59:56.142931","75.392705"
"121158","2023-07-31 07:59:57.138531","186.885279"
"121159","2023-07-31 07:59:58.150909","186.438704"
"121160","2023-07-31 07:59:59.148878","168.330607"
"121161","2023-07-31 08:00:00.146388","62.710517"
"121162","2023-07-31 08:00:01.162479","191.58562"
"121163","2023-07-31 08:00:02.150092","183.009406"
"121164","2023-07-31 08:00:03.138134","76.31692"
